Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
;;;;SW1116;Colorectal Adenocarcinoma;5,79;3,09;5,97;3,38;0,76;2,11;;
;;;;NCIH1694;Lung Neuroendocrine Tumor;6,59;4,63;6,80;3,95;2,82;3,00;;
;;;;M059K;Diffuse Glioma;6,00;3,13;7,72;4,50;2,30;0,79;;
;;;;JHUEM2;Endometrial Carcinoma;6,59;3,15;7,03;5,17;2,06;3,46;;
;;;;WSUDLCL2;Non-Hodgkin Lymphoma;6,07;4,62;6,00;3,49;1,46;1,44;;
;;;;COLO741;Melanoma;3,81;2,91;8,31;5,54;2,12;2,45;;
;;;;SNU8;Ovarian Epithelial Tumor;2,66;2,69;7,65;3,36;1,66;0,86;;
;;;;OVKATE;Ovarian Epithelial Tumor;4,84;3,56;7,50;4,96;1,52;2,08;;
;;;;MM426;Melanoma;3,32;2,73;11,34;4,91;2,89;1,74;;
;;;;HT115;Colorectal Adenocarcinoma;2,55;3,08;6,36;4,79;1,64;2,20;;
;;;;C4II;Cervical Squamous Cell Carcinoma;4,61;2,40;8,73;4,06;1,29;4,54;;
;;;;PATU8988T;Pancreatic Adenocarcinoma;6,59;3,15;8,08;4,40;1,12;3,19;;
;;;;SLVL;Non-Hodgkin Lymphoma;5,87;3,04;8,84;4,05;3,07;0,77;;
;;;;RPE1SS48;Non-Cancerous;5,56;2,63;7,93;4,24;1,94;0,77;;
;;;;JM1;B-Lymphoblastic Leukemia/Lymphoma;6,73;3,45;6,50;2,75;2,66;0,58;;
;;;;YAMATO;Synovial Sarcoma;6,15;3,30;8,05;4,38;2,20;1,53;;
;;;;KYM1;Rhabdomyosarcoma;5,42;3,45;6,93;4,35;0,97;2,93;;
;;;;CCC5;Intraductal Papillary Neoplasm of the Bile Duct;5,60;2,62;6,93;4,45;3,82;1,40;;
;;;;DMS79;Lung Neuroendocrine Tumor;5,71;4,40;5,79;5,67;2,87;3,18;;
;;;;TTC549;Embryonal Tumor;5,19;3,43;7,00;4,36;2,22;3,32;;
;;;;H413;Head and Neck Squamous Cell Carcinoma;3,12;2,04;7,69;4,83;1,40;1,80;;
;;;;OCIAML2;Acute Myeloid Leukemia;6,45;3,53;6,91;3,35;1,13;0,07;;
;;;;NCIH3122;Non-Small Cell Lung Cancer;5,28;3,00;7,19;4,39;1,54;2,79;;
;;;;KMS21BM;Non-Hodgkin Lymphoma;5,11;3,34;8,11;4,01;1,79;1,43;;
;;;;OPM1;Non-Hodgkin Lymphoma;5,71;4,64;7,03;4,57;3,70;1,92;;
;;;;KP2;Pancreatic Adenocarcinoma;5,28;2,91;7,41;3,90;2,34;0,89;;
;;;;MOLM6;Myeloproliferative Neoplasms;5,73;3,06;5,39;2,79;1,20;2,24;;
;;;;LS411N;Colorectal Adenocarcinoma;3,56;3,03;6,24;4,59;1,84;2,52;;
;;;;LU99;Non-Small Cell Lung Cancer;4,15;2,09;7,47;4,24;0,73;1,27;;
;;;;QGP1;Pancreatic Neuroendocrine Tumor;3,75;3,93;7,04;4,64;2,11;1,32;;
;;;;SW626;Colorectal Adenocarcinoma;6,36;3,27;8,48;4,38;0,91;1,86;;
;;;;KARPAS384;Non-Hodgkin Lymphoma;5,05;2,67;8,34;1,45;0,52;0,25;;
;;;;SLR20;Bladder Urothelial Carcinoma;4,28;3,77;7,04;4,33;1,84;2,20;;
;;;;GB2;Intracholecystic Papillary Neoplasm;5,47;2,20;8,01;5,04;2,29;0,78;;
;;;;95T1000;Liposarcoma;4,89;1,36;8,41;3,54;2,04;0,24;;
;;;;PK1;Pancreatic Adenocarcinoma;5,05;2,85;7,42;4,25;1,83;0,73;;
;;;;CHLA218;Ewing Sarcoma;5,81;2,59;7,41;4,18;1,89;2,01;;
;;;;LN229;Diffuse Glioma;5,36;3,35;7,68;4,17;2,21;1,22;;
;;;;KMLS1;Liposarcoma;4,25;1,99;7,43;2,99;1,78;1,29;;
;;;;NCIH2029;Lung Neuroendocrine Tumor;5,26;3,74;6,69;4,38;2,57;4,27;;
;;;;BICR56;Head and Neck Squamous Cell Carcinoma;4,72;2,49;6,06;3,84;1,28;0,86;;
;;;;SNU46;Head and Neck Squamous Cell Carcinoma;6,34;4,47;7,79;4,59;1,99;1,52;;
;;;;TE15;Esophageal Squamous Cell Carcinoma;4,12;3,23;6,96;4,73;2,61;0,58;;
;;;;SKMM2;Non-Hodgkin Lymphoma;5,53;4,32;6,87;4,32;2,08;0,16;;
;;;;COLO678;Colorectal Adenocarcinoma;5,69;3,57;6,62;3,69;2,62;1,51;;
;;;;KARPAS299;Non-Hodgkin Lymphoma;5,30;3,47;6,90;4,44;1,36;1,10;;
;;;;KOSC2;Head and Neck Squamous Cell Carcinoma;4,25;1,99;6,36;3,62;1,10;0,43;;
;;;;SLR23;Renal Cell Carcinoma;5,58;2,16;7,66;3,97;1,30;1,49;;
;;;;OVTOKO;Ovarian Epithelial Tumor;4,86;1,58;6,88;3,29;0,58;0,61;;
;;;;JVM3;Non-Hodgkin Lymphoma;6,34;3,67;7,63;3,01;1,67;0,42;;
;;;;SNUC5;Colorectal Adenocarcinoma;5,89;3,24;6,58;4,44;2,02;2,19;;
;;;;C33A;Cervical Squamous Cell Carcinoma;5,62;2,86;7,74;4,21;1,71;2,28;;
;;;;BICR22;Head and Neck Squamous Cell Carcinoma;2,59;2,45;5,32;4,01;1,09;0,63;;
;;;;SKNMC;Ewing Sarcoma;6,45;3,59;6,74;4,13;3,21;3,08;;
;;;;LI7;Hepatocellular Carcinoma;2,88;2,86;7,10;5,54;3,09;2,12;;
;;;;HS698T;Non-Cancerous;5,05;3,21;7,94;5,14;2,03;2,58;;
;;;;OV90;Ovarian Epithelial Tumor;4,98;2,66;7,73;4,90;1,74;1,70;;
;;;;BPH1;Non-Cancerous;6,08;3,30;6,92;4,92;1,26;1,20;;
;;;;C75;Colorectal Adenocarcinoma;5,46;2,28;6,69;4,72;1,56;3,05;;
;;;;NCIH2009;Non-Small Cell Lung Cancer;5,96;4,11;7,34;4,67;1,56;2,28;;
;;;;NCIH1793;Non-Small Cell Lung Cancer;4,12;3,10;7,11;5,06;2,53;2,32;;
;;;;SCLC21H;Lung Neuroendocrine Tumor;5,02;4,65;6,80;3,96;1,20;2,95;;
;;;;PC14;Non-Small Cell Lung Cancer;6,74;3,09;7,69;4,55;1,92;0,21;;
;;;;SUMB002;Embryonal Tumor;4,23;3,40;7,22;4,68;1,24;2,71;;
;;;;SUDHL10;Non-Hodgkin Lymphoma;4,96;3,70;6,81;3,94;2,31;0,16;;
;;;;SNU1076;Head and Neck Squamous Cell Carcinoma;3,30;2,58;6,51;4,70;1,73;0,93;;
;;;;A498;Renal Cell Carcinoma;5,56;2,46;7,80;5,12;2,19;2,00;;
;;;;SNU387;Hepatocellular Carcinoma;2,83;3,06;8,04;5,32;2,96;0,80;;
;;;;NCIH727;Lung Neuroendocrine Tumor;5,60;3,09;6,29;4,85;1,40;3,81;;
;;;;EHEB;B-Lymphoblastic Leukemia/Lymphoma;5,58;3,74;8,16;3,12;2,89;1,18;;
;;;;KPMRTRY;Rhabdoid Cancer;6,23;3,31;8,16;4,51;2,33;1,29;;
;;;;A388;Cutaneous Squamous Cell Carcinoma;4,21;1,82;7,67;4,48;1,32;1,24;;
;;;;NCIH1836;Lung Neuroendocrine Tumor;6,67;3,56;6,19;3,50;2,42;2,44;;
;;;;NCIH1299;Non-Small Cell Lung Cancer;4,65;3,08;8,31;3,92;1,40;2,01;;
;;;;HSPSS;Nerve Sheath Tumor;5,54;2,74;8,68;5,43;1,77;0,58;;
;;;;LN464;Diffuse Glioma;5,43;3,42;10,00;5,31;2,50;3,54;;
;;;;JVE127;Colorectal Adenocarcinoma;5,97;2,85;5,38;5,57;0,82;3,13;;
;;;;DMS454;Lung Neuroendocrine Tumor;4,34;3,69;6,56;5,31;2,78;2,04;;
;;;;DV90;Non-Small Cell Lung Cancer;4,46;2,14;6,78;4,56;1,91;4,79;;
;;;;RPE1SS119;Non-Cancerous;5,59;2,48;7,80;4,26;2,43;1,23;;
;;;;SLR24;Renal Cell Carcinoma;5,14;2,30;7,33;3,89;0,96;1,70;;
;;;;CHLA99;Ewing Sarcoma;5,66;3,39;7,35;4,62;2,07;2,04;;
;;;;SNU1272;Renal Cell Carcinoma;4,77;2,61;8,16;4,10;2,04;2,65;;
;;;;DL;Embryonal Tumor;6,17;3,66;6,74;4,51;2,10;4,22;;
;;;;SNUC4;Colorectal Adenocarcinoma;6,11;3,09;6,05;5,61;3,19;2,96;;
;;;;RD;Rhabdomyosarcoma;5,69;3,67;6,88;4,98;2,26;0,90;;
;;;;SW756;Cervical Squamous Cell Carcinoma;4,85;3,72;7,59;4,85;2,72;1,97;;
;;;;MCAS;Ovarian Epithelial Tumor;6,24;2,81;5,95;4,10;1,66;0,28;;
;;;;HCC2429;Non-Small Cell Lung Cancer;5,08;3,44;7,28;4,79;2,68;1,18;;
;;;;HS683;Diffuse Glioma;5,16;3,55;7,70;4,86;3,28;0,69;;
;;;;SKMEL31;Melanoma;4,84;3,63;9,73;4,50;2,94;1,58;;
;;;;TGW;Neuroblastoma;6,19;3,03;5,99;3,76;5,12;2,38;;
;;;;UPCISCC116;Head and Neck Squamous Cell Carcinoma;4,09;0,99;5,94;2,63;0,39;0,16;;
;;;;A375SKINCJ2;Melanoma;4,59;3,43;9,47;5,11;1,69;1,58;;
;;;;MP46;Ocular Melanoma;4,92;2,91;8,03;5,07;3,36;1,96;;
;;;;SNUC2A;Colorectal Adenocarcinoma;5,99;3,82;7,02;5,27;2,80;3,83;;
;;;;YH13;Diffuse Glioma;4,76;4,42;7,53;4,40;2,58;0,61;;
;;;;JOPACA1;Pancreatic Adenocarcinoma;2,97;2,97;6,25;3,02;0,77;1,26;;
;;;;MOLM14;Acute Myeloid Leukemia;5,39;2,28;7,09;3,49;0,31;0,16;;
;;;;ZR751;Invasive Breast Carcinoma;4,20;2,92;7,94;4,72;2,45;2,61;;
;;;;COV318;Ovarian Epithelial Tumor;4,71;2,75;6,57;3,14;0,89;1,44;;
;;;;LNCAPCLONEFGC;Prostate Adenocarcinoma;6,17;3,88;7,70;5,61;2,52;2,38;;
;;;;HEC151;Endometrial Carcinoma;5,51;2,88;6,26;4,59;1,29;2,47;;
;;;;NMB;Neuroblastoma;4,82;3,50;7,01;4,07;3,86;2,30;;
;;;;CORL24;Lung Neuroendocrine Tumor;5,19;4,56;6,33;3,12;2,28;2,86;;
;;;;UACC257;Melanoma;4,55;2,59;8,85;5,68;3,91;2,14;;
;;;;JMURTK2;Rhabdoid Cancer;6,73;3,05;6,88;4,96;2,59;2,53;;
;;;;CORL47;Lung Neuroendocrine Tumor;2,93;3,69;6,69;4,74;1,69;2,45;;
;;;;94T778;Liposarcoma;6,14;1,93;8,73;4,73;2,16;0,99;;
;;;;H376;Head and Neck Squamous Cell Carcinoma;2,10;1,40;6,49;2,92;0,65;0,77;;
;;;;TCCPAN2;Pancreatic Adenocarcinoma;2,36;2,66;8,10;3,90;1,92;0,69;;
;;;;L363;Non-Hodgkin Lymphoma;5,47;5,38;7,69;5,94;3,40;2,03;;
;;;;TE5;Esophageal Squamous Cell Carcinoma;4,94;2,89;6,61;4,12;1,42;3,71;;
;;;;ESO26;Esophagogastric Adenocarcinoma;5,78;3,73;6,72;5,38;0,89;4,39;;
;;;;A2058;Melanoma;5,89;2,84;9,46;5,91;1,93;0,43;;
;;;;ONDA7;Diffuse Glioma;4,64;2,38;7,89;3,06;2,46;1,45;;
;;;;SNU216;Esophagogastric Adenocarcinoma;6,45;3,85;6,59;3,73;1,58;1,93;;
;;;;MERO83;Pleural Mesothelioma;6,32;2,85;7,76;4,23;1,89;1,95;;
;;;;HEL9217;Acute Myeloid Leukemia;5,45;3,16;6,15;3,55;1,32;5,02;;
;;;;UMRC3;Renal Cell Carcinoma;3,34;1,50;5,31;1,95;0,92;0,99;;
;;;;OVCAR5;Ovarian Epithelial Tumor;2,57;2,70;8,44;4,04;1,84;1,96;;
;;;;RMUGS;Ovarian Epithelial Tumor;6,11;2,20;7,68;4,53;1,87;1,84;;
;;;;HEYA8;Ovarian Epithelial Tumor;5,33;2,41;8,26;4,17;1,10;0,32;;
;;;;KG1C;Diffuse Glioma;5,72;3,36;8,94;4,84;3,19;1,86;;
;;;;UHO1;Hodgkin Lymphoma;6,63;2,87;9,69;3,18;3,04;1,28;;
;;;;SNU324;Pancreatic Adenocarcinoma;4,67;3,07;5,62;4,37;1,50;1,04;;
;;;;REC1;Non-Hodgkin Lymphoma;5,16;4,23;6,36;3,28;1,95;0,93;;
;;;;NCIH1581;Non-Small Cell Lung Cancer;2,57;3,36;6,57;3,02;1,55;1,75;;
;;;;L82;Non-Hodgkin Lymphoma;3,74;1,76;7,86;2,32;0,73;1,46;;
;;;;F36P;Myelodysplastic Syndromes;5,58;2,81;6,50;5,00;3,05;4,51;;
;;;;SUPT11;Non-Hodgkin Lymphoma;3,74;3,90;5,94;3,98;3,23;1,67;;
;;;;BT549;Invasive Breast Carcinoma;7,03;2,74;8,01;4,47;1,61;1,13;;
;;;;COLO824;Breast Neoplasm, NOS;2,96;2,53;8,44;4,64;1,87;3,11;;
;;;;SEM;B-Lymphoblastic Leukemia/Lymphoma;6,30;3,25;5,99;3,67;1,60;0,26;;
;;;;PEO4;Ovarian Epithelial Tumor;5,02;2,48;6,41;1,65;0,64;0,75;;
;;;;JEKO1;Non-Hodgkin Lymphoma;3,64;3,04;7,13;3,89;1,65;0,49;;
;;;;TE125T;Non-Cancerous;4,58;3,38;8,17;5,38;2,33;1,65;;
;;;;CHLA266;Embryonal Tumor;5,55;2,21;7,96;4,56;1,35;3,01;;
;;;;COV504;Ovarian Epithelial Tumor;3,54;3,05;8,44;5,16;2,20;1,06;;
;;;;MOLP2;Non-Hodgkin Lymphoma;4,82;3,36;5,67;3,04;1,40;3,97;;
;;;;RERFLCAD1;Non-Small Cell Lung Cancer;6,08;3,78;6,55;4,81;2,67;1,28;;
;;;;ST486;Non-Hodgkin Lymphoma;6,88;4,38;6,49;3,67;2,06;2,14;;
;;;;SUM159PT;Invasive Breast Carcinoma;4,96;3,06;7,41;4,82;1,40;1,53;;
;;;;NCIH292;Non-Small Cell Lung Cancer;5,30;2,63;6,33;4,22;1,23;2,20;;
;;;;ALLSIL;T-Lymphoblastic Leukemia/Lymphoma;5,89;3,19;5,89;3,75;1,94;2,42;;
;;;;AML193;Acute Myeloid Leukemia;3,10;2,94;7,04;3,69;0,97;1,80;;
;;;;TE159T;Non-Cancerous;4,24;3,00;7,76;4,83;2,16;1,04;;
;;;;MB1;Anaplastic Thyroid Cancer;2,17;2,89;8,59;4,43;2,69;1,28;;
;;;;ICC4;Intraductal Papillary Neoplasm of the Bile Duct;5,37;2,23;7,33;4,65;1,91;1,56;;
;;;;H103;Head and Neck Squamous Cell Carcinoma;5,78;2,24;6,66;4,86;1,37;1,45;;
;;;;TOV21G;Ovarian Epithelial Tumor;5,53;2,85;7,05;4,64;1,41;3,56;;
;;;;NCIH23;Non-Small Cell Lung Cancer;4,98;3,44;6,91;3,50;1,89;1,32;;
;;;;NCIH1355;Non-Small Cell Lung Cancer;5,12;2,72;6,26;4,28;1,47;1,18;;
;;;;JHH6;Hepatocellular Carcinoma;4,83;2,78;8,13;4,89;1,85;0,86;;
;;;;HCC515;Non-Small Cell Lung Cancer;4,53;2,58;7,18;3,64;2,10;2,13;;
;;;;RCK8;Non-Hodgkin Lymphoma;6,20;3,98;8,00;2,58;1,77;1,45;;
;;;;UPCISCC152;Head and Neck Squamous Cell Carcinoma;6,19;3,04;7,51;4,65;2,63;1,50;;
;;;;SCC9;Head and Neck Squamous Cell Carcinoma;2,83;2,72;5,96;4,05;1,69;1,52;;
;;;;VCAP;Prostate Adenocarcinoma;5,47;4,50;7,17;4,49;2,23;3,62;;
;;;;NALM19;B-Lymphoblastic Leukemia/Lymphoma;7,32;4,26;6,24;3,75;0,96;0,66;;
;;;;NCIH2405;Non-Small Cell Lung Cancer;5,44;3,11;8,44;4,11;2,21;2,08;;
;;;;PFSK1;Embryonal Tumor;6,18;2,23;7,25;3,66;1,11;1,41;;
;;;;MDAMB361;Invasive Breast Carcinoma;4,08;3,34;7,25;4,95;1,58;4,66;;
;;;;HEC251;Endometrial Carcinoma;4,82;3,44;6,34;4,55;1,60;1,29;;
;;;;JAR;Gestational Trophoblastic Disease;5,39;3,40;7,18;3,81;0,89;6,28;;
;;;;RC2;Rhabdomyosarcoma;5,09;2,89;7,22;4,56;2,58;2,68;;
;;;;PSN1;Pancreatic Adenocarcinoma;3,78;2,72;7,55;4,60;1,77;2,00;;
;;;;RKN;Leiomyosarcoma;5,61;3,53;8,29;4,37;1,60;1,33;;
;;;;NCIH2023;Non-Small Cell Lung Cancer;4,48;2,60;6,36;4,77;2,16;2,11;;
;;;;SUPB15;B-Lymphoblastic Leukemia/Lymphoma;6,69;4,11;6,06;4,40;1,50;0,63;;
;;;;CMLT1;Myeloproliferative Neoplasms;6,22;4,06;6,05;3,14;3,18;4,52;;
;;;;NB4;Acute Myeloid Leukemia;5,61;3,44;7,36;3,63;0,80;2,05;;
;;;;SNU475;Hepatocellular Carcinoma;5,80;2,96;7,38;4,35;2,79;1,12;;
;;;;NMCG1;Diffuse Glioma;4,98;3,25;9,41;4,12;2,28;2,35;;
;;;;ACHN;Renal Cell Carcinoma;5,46;3,36;7,32;4,41;1,12;0,85;;
;;;;COLO792;Melanoma;4,35;2,94;7,50;6,01;3,19;2,47;;
;;;;NCIH1436;Lung Neuroendocrine Tumor;6,88;4,20;6,45;4,65;3,26;2,28;;
;;;;SU8686;Pancreatic Adenocarcinoma;5,40;3,16;6,55;4,92;0,91;2,15;;
;;;;BL70;Non-Hodgkin Lymphoma;7,02;3,05;6,43;3,15;1,40;0,08;;
;;;;NCCIT;Non-Seminomatous Germ Cell Tumor;3,21;2,95;6,97;5,45;1,36;1,53;;
;;;;U343;Diffuse Glioma;5,64;3,26;7,69;4,70;2,96;2,17;;
;;;;639V;Urethral Cancer;6,34;3,61;6,56;3,99;1,56;2,57;;
;;;;MON;Embryonal Tumor;5,96;3,18;7,04;4,35;2,51;2,94;;
;;;;LOXIMVI;Melanoma;4,81;3,32;7,87;4,28;1,46;1,41;;
;;;;TOLEDO;Non-Hodgkin Lymphoma;3,83;4,13;6,55;3,61;2,78;1,66;;
;;;;KP363T;Colorectal Adenocarcinoma;3,34;3,22;6,78;4,60;1,31;1,02;;
;;;;SSP25;Intraductal Papillary Neoplasm of the Bile Duct;6,41;3,21;8,07;5,11;2,43;1,42;;
;;;;ECC2;Intraductal Papillary Neoplasm of the Bile Duct;3,37;2,50;7,24;3,64;1,44;0,82;;
;;;;A673;Ewing Sarcoma;3,54;3,23;6,53;4,70;1,99;1,71;;
